Time since start (ms),Queue size,Average packet loss
1067,1,0.0
2121,41,0.0
3163,49,0.22413793103448276
4299,44,0.19548872180451127
5441,41,0.16993464052287582
6488,45,0.15555555555555556
7549,27,0.15300546448087432
8615,20,0.14213197969543148
9675,24,0.12612612612612611
11001,15,0.11715481171548117
12328,20,0.1037037037037037
13388,14,0.09824561403508772
14448,9,0.09302325581395349
15507,3,0.08860759493670886
16568,1,0.08484848484848485
17893,1,0.07865168539325842
18955,13,0.07216494845360824
20013,5,0.06982543640897755
21073,3,0.06666666666666667
22134,3,0.06349206349206349
23327,1,0.06100217864923747
24386,1,0.05894736842105263
25447,11,0.05555555555555555
26507,12,0.053231939163498096
27569,17,0.050724637681159424
28629,35,0.047377326565143825
29691,23,0.04666666666666667
30757,22,0.04516129032258064
31951,10,0.044374009508716325
33015,8,0.043010752688172046
34076,7,0.041728763040238454
35135,1,0.040995607613469986
36197,10,0.03927068723702665
37256,6,0.038356164383561646
38315,1,0.03773584905660377
39373,7,0.037037037037037035
40433,1,0.03669724770642202
41492,5,0.03585147247119078
42552,10,0.03469640644361834
43611,9,0.03385731559854897
44672,3,0.03333333333333333
45733,5,0.03259604190919674
46792,3,0.032
47853,25,0.030501089324618737
48912,17,0.03007518796992481
49973,15,0.029473684210526315
51032,20,0.028688524590163935
52225,3,0.028484231943031537
53416,1,0.028169014084507043
54477,2,0.027722772277227723
55536,8,0.027105517909002903
56861,6,0.026465028355387523
