Time since start (ms),Queue size,Average packet loss
1067,12,0.0
2087,19,0.06382978723404255
3165,25,0.15476190476190477
4331,20,0.17592592592592593
5467,23,0.18571428571428572
6505,14,0.17647058823529413
7559,14,0.15517241379310345
8623,12,0.14871794871794872
9723,18,0.13452914798206278
10839,16,0.13765182186234817
12117,8,0.13533834586466165
13123,1,0.13382899628252787
14136,8,0.12627986348122866
15159,14,0.11875
16187,1,0.11585365853658537
17217,1,0.11209439528023599
18396,1,0.10764872521246459
19421,1,0.10242587601078167
20449,9,0.09620253164556962
21476,3,0.09732360097323602
22520,1,0.09324009324009325
23569,4,0.08888888888888889
24617,4,0.08547008547008547
25667,6,0.0814663951120163
26720,4,0.0784313725490196
28156,1,0.07561436672967864
29214,1,0.074487895716946
30271,1,0.072992700729927
31321,3,0.07005253940455342
32522,1,0.07008547008547009
33577,3,0.0695364238410596
34958,1,0.06818181818181818
36178,1,0.0673076923076923
37417,1,0.06542056074766354
38789,1,0.06363636363636363
40015,1,0.0625
41084,1,0.06140350877192982
42151,1,0.06060606060606061
43218,3,0.05907172995780591
44287,7,0.0572987721691678
45361,1,0.057640750670241284
46598,1,0.05643044619422572
47681,15,0.05415617128463476
48788,9,0.05541871921182266
49891,3,0.05447941888619855
50993,1,0.0539568345323741
52099,3,0.05306603773584906
53361,1,0.05232558139534884
54791,1,0.05125284738041002
55897,2,0.049944506104328525
57159,1,0.04939626783754116
58264,1,0.04859611231101512
59366,1,0.04838709677419355
60470,1,0.04797441364605544
61572,2,0.0472193074501574
62678,1,0.046343975283213185
63783,1,0.04573170731707317
64885,1,0.04554655870445344
65989,1,0.04513540621865597
67098,1,0.04523107177974434
68214,12,0.044933078393881457
69379,1,0.04554079696394687
70673,1,0.04498594189315839
71804,3,0.04524469067405355
72953,1,0.044954128440366975
74428,1,0.044343891402714934
76407,1,0.04424778761061947
77567,1,0.04405286343612335
78569,1,0.04363001745200698
79900,1,0.04329004329004329
81064,1,0.04258943781942078
82068,8,0.04184100418410042
83244,1,0.041701417848206836
84569,3,0.04101722723543889
85744,8,0.04038772213247173
86775,3,0.03990422984836393
87944,6,0.04059328649492584
88955,5,0.040061633281972264
89966,1,0.040519877675840976
90992,3,0.0405709992486852
92026,1,0.04051012753188297
93063,1,0.04014869888475837
94099,1,0.039589442815249266
95479,1,0.03932993445010925
96517,1,0.03915881073241479
97555,1,0.03901734104046243
98595,2,0.03934191702432046
99637,1,0.038924274593064405
100679,3,0.03848845346396081
101719,3,0.03819444444444445
102763,1,0.03795721187025535
103804,1,0.03761969904240766
104846,1,0.03736413043478261
106238,1,0.037086985839514496
107626,1,0.036838580040187544
108841,1,0.03644797879390325
110059,1,0.03616042077580539
111449,1,0.03590078328981723
112502,3,0.03562176165803109
113549,2,0.03527902501603592
114590,1,0.03496503496503497
115637,1,0.03467843631778058
116680,1,0.034353529044347283
117723,8,0.03403465346534654
118938,1,0.03376304481276857
120153,1,0.033598045204642636
121367,1,0.033475349969567865
122412,1,0.0338777979431337
123466,1,0.03369434416365824
124519,1,0.033553025763930495
125922,1,0.03329369797859691
126975,4,0.03286384976525822
128028,1,0.03272939801285798
129257,1,0.032520325203252036
130310,1,0.03236994219653179
131539,1,0.03198172472872644
132592,1,0.03190883190883191
133829,5,0.032058492688413945
134893,1,0.031932773109243695
136136,1,0.031578947368421054
137201,1,0.03137039075399009
138268,1,0.03114754098360656
139689,1,0.03097826086956522
140754,1,0.030744336569579287
142176,1,0.030497592295345103
143419,1,0.030222693531283137
144841,1,0.030063291139240507
146083,1,0.029765013054830286
147149,1,0.0296875
148215,1,0.029487842731505433
149278,1,0.02930591259640103
150521,1,0.02906680265170831
151588,1,0.028963414634146343
152833,1,0.028802425467407782
153899,1,0.02865761689291101
155498,1,0.028471528471528472
156568,1,0.028245787908820614
157634,1,0.028120374938332512
159056,1,0.027900146842878122
160494,0,0.02895752895752896
161587,4,0.02877697841726619
162681,1,0.028694404591104734
163778,1,0.028544243577545196
165055,1,0.02823529411764706
166516,1,0.027998133457769483
167617,1,0.02791996277338297
168716,1,0.02768804799261652
169813,2,0.0273972602739726
170919,3,0.027149321266968326
172221,1,0.0270148581719946
173321,1,0.02685765443151298
174437,8,0.027373068432671083
175562,1,0.027692307692307693
176698,1,0.027984258854394404
178031,1,0.02789886660854403
179185,1,0.02827316224445411
180339,1,0.028102031993082578
181497,1,0.027932960893854747
182652,1,0.02773037542662116
184011,1,0.028073160357294766
185186,2,0.028353787558188744
186563,1,0.028270042194092827
187742,1,0.02816309373686423
188923,1,0.02790503956684715
190300,1,0.027697395618023975
191479,1,0.02744776730848013
192658,1,0.02735810534912209
194035,1,0.02719155844155844
195607,1,0.027092600080873434
196791,1,0.026994359387590653
197978,1,0.026929260450160773
199159,1,0.026767878545745107
200534,1,0.026618990862137464
201716,1,0.02649268485567418
202895,1,0.02631578947368421
204075,1,0.02615144418423107
205270,6,0.026671820641669886
206272,1,0.026589595375722544
207274,1,0.026436781609195402
208279,1,0.026345933562428408
209284,1,0.02623574144486692
210289,1,0.026166097838452786
211493,1,0.026116578349735048
212495,1,0.026037735849056602
213500,4,0.025871766029246346
214506,1,0.026158445440956652
215519,1,0.026138909634055265
216742,1,0.02645305514157973
217969,1,0.02636464909023394
219605,1,0.02632554690396737
220834,1,0.0262379896526238
221860,1,0.026519337016574586
223099,1,0.026402640264026403
224131,1,0.026335040234089245
225578,1,0.02631578947368421
226611,1,0.026210411357844923
227644,3,0.026039783001808318
228694,1,0.02598339949476723
229750,1,0.025936599423631124
230802,1,0.025880661394680086
231835,1,0.02582496413199426
232869,5,0.02564102564102564
233903,1,0.0255863539445629
234937,1,0.02545968882602546
235970,10,0.02527202527202527
237002,1,0.02520126006300315
238036,1,0.02510460251046025
239688,1,0.02498265093684941
240927,1,0.02481902792140641
241959,1,0.024725274725274724
242992,1,0.024699828473413378
244025,1,0.02460697197539303
245065,1,0.024855294518215866
246111,1,0.02515295717199184
247389,1,0.025067750677506776
248447,1,0.024991556906450524
249500,1,0.02492421690804985
250976,1,0.02488231338264963
252030,8,0.024983344437041973
253092,1,0.02494180246092451
254371,1,0.025165562913907286
