Time since start (ms),Queue size,Average packet loss
1091,1,0.0
2389,1,0.0
3399,20,0.0
4404,26,0.0
5409,18,0.0
6414,23,0.0
7420,15,0.0
8427,27,0.0
9434,31,0.0
10540,35,0.0
11773,45,0.00398406374501992
12797,41,0.003745318352059925
13818,48,0.010135135135135136
15002,43,0.04
16021,42,0.0377906976744186
17044,40,0.03591160220994475
18234,46,0.06451612903225806
19245,45,0.06382978723404255
20300,48,0.0728476821192053
21855,37,0.07563025210084033
22859,42,0.0718562874251497
23864,36,0.07003891050583658
24869,24,0.06896551724137931
25904,24,0.06629834254143646
26914,23,0.06405693950177936
27919,16,0.0627177700348432
29066,16,0.06030150753768844
30069,5,0.0594059405940594
31074,12,0.05687203791469194
32078,1,0.056074766355140186
33227,2,0.05405405405405406
34519,9,0.05157593123209169
35524,8,0.0502092050209205
36528,4,0.049247606019151846
37676,11,0.047619047619047616
38680,1,0.047058823529411764
39970,6,0.04556962025316456
40974,5,0.04455445544554455
41978,12,0.04311377245508982
42982,1,0.042704626334519574
44129,9,0.041189931350114416
45132,6,0.04044943820224719
46280,4,0.03951701427003293
47283,3,0.0390032502708559
48288,1,0.038751345532831
49292,1,0.038135593220338986
50439,1,0.03753910323253389
51497,2,0.03730569948186528
52645,14,0.036
53651,13,0.03532875368007851
54655,1,0.0351219512195122
55803,6,0.03425309229305423
56810,1,0.03383458646616541
57957,1,0.03348837209302326
58961,4,0.03299725022914757
59965,1,0.03257918552036199
61400,1,0.03214285714285714
62405,1,0.03197158081705151
63552,1,0.031496062992125984
64556,1,0.031007751937984496
65559,1,0.030821917808219176
66708,1,0.030534351145038167
67856,1,0.030226700251889168
68859,1,0.029925187032418952
70007,1,0.029411764705882353
71011,8,0.02877697841726619
72015,2,0.028481012658227847
73021,1,0.028191072826938137
74025,1,0.027906976744186046
75030,8,0.02748091603053435
76320,1,0.02723146747352496
77324,5,0.026845637583892617
78329,1,0.02654867256637168
79333,4,0.026124818577648767
80337,22,0.025441696113074206
81340,18,0.025157232704402517
82488,14,0.02482758620689655
83494,17,0.024439918533604887
84497,16,0.02414486921529175
85502,4,0.02401601067378252
86506,6,0.02369980250164582
87510,1,0.023483365949119372
88657,3,0.023240800516462233
89661,1,0.023106546854942234
90665,1,0.022871664548919948
91813,1,0.022741629816803537
92819,11,0.022318660880347178
93822,14,0.022004889975550123
94826,5,0.02185792349726776
95973,4,0.02158273381294964
96979,4,0.02132701421800948
97982,5,0.021064950263311878
98986,8,0.020833333333333332
99990,15,0.020512820512820513
100994,12,0.020316027088036117
101998,6,0.020168067226890758
103005,6,0.019988895058300944
104013,16,0.019661387220098307
105018,19,0.019417475728155338
106021,18,0.019220501868659905
107312,21,0.01893740136770121
108458,11,0.018808777429467086
109462,1,0.0187207488299532
110610,1,0.01854714064914992
111757,1,0.01842374616171955
112761,2,0.018227848101265823
113765,2,0.018090452261306532
114770,1,0.018
115918,3,0.017839444995044598
116922,1,0.017742730409068506
117925,1,0.01764705882352941
118930,10,0.0174503150751333
119935,7,0.01730769230769231
120939,1,0.017208413001912046
121943,1,0.0171021377672209
122948,2,0.016933207902163686
123951,1,0.016853932584269662
125098,1,0.016783216783216783
126245,1,0.016643550624133148
127250,1,0.016536518144235186
128397,1,0.01643835616438356
129689,1,0.016423357664233577
130693,1,0.016341352700862462
131698,1,0.016296966953372568
132701,3,0.016172506738544475
133705,1,0.016057091882247992
134852,1,0.015992892047978675
135857,3,0.01588702559576346
136861,1,0.01576872536136662
137865,1,0.01568627450980392
140017,1,0.015537332757876565
141021,1,0.015450643776824034
142032,6,0.015286624203821656
143036,2,0.015202702702702704
144039,8,0.015043877977434183
145043,1,0.014993752603082049
146046,15,0.014784394250513347
147050,14,0.014669926650366748
148340,1,0.01461038961038961
149488,1,0.014569000404694455
150492,5,0.01446364001607071
151495,2,0.014405762304921969
152499,15,0.014218009478672985
153790,5,0.0141287284144427
154794,1,0.014095536413469069
155799,1,0.01405152224824356
156802,1,0.013958898797983715
157808,9,0.013814274750575594
158812,10,0.013703844689760183
159959,1,0.013646702047005308
161250,1,0.013610586011342156
162254,1,0.013528748590755355
163259,4,0.013457943925233645
164263,7,0.013353115727002967
165268,1,0.013293943870014771
166415,6,0.013220712449504223
167419,17,0.013071895424836602
