Time since start (ms),Queue size,Average packet loss
1107,1,0.0
2202,12,0.05714285714285714
3236,9,0.05555555555555555
4374,7,0.04054054054054054
5420,32,0.1
6558,20,0.17532467532467533
7703,12,0.1744186046511628
8796,12,0.15463917525773196
9894,5,0.14832535885167464
11263,2,0.13675213675213677
12388,18,0.12727272727272726
13395,14,0.1232876712328767
14427,12,0.12179487179487179
15458,3,0.11801242236024845
16483,7,0.10982658959537572
17508,4,0.1043956043956044
18535,17,0.09595959595959595
19560,11,0.09268292682926829
20593,8,0.09090909090909091
21624,1,0.08986175115207373
22804,3,0.08705357142857142
23838,6,0.0826271186440678
25018,3,0.08113590263691683
26066,8,0.07707129094412331
27410,1,0.07590132827324478
28605,1,0.07393715341959335
29664,24,0.07155025553662692
30960,17,0.08306188925081433
31970,11,0.08267090620031796
33497,1,0.08062015503875969
34676,1,0.07975460122699386
36193,1,0.07866868381240545
37205,3,0.07692307692307693
38889,1,0.0763582966226138
40069,1,0.07503607503607504
41587,1,0.07417974322396577
42598,1,0.07232267037552156
43946,1,0.06970509383378017
44957,1,0.06869220607661823
45967,1,0.06788511749347259
46979,1,0.06658130601792574
48328,1,0.06491885143570537
49338,1,0.06372549019607843
50350,3,0.0625
51699,1,0.061248527679623084
52877,1,0.06011560693641618
53889,3,0.05909090909090909
54901,2,0.05784204671857619
55912,1,0.0570801317233809
57262,1,0.056155507559395246
58442,1,0.05485232067510549
59453,1,0.054336468129571575
60464,1,0.053830227743271224
61476,1,0.05322415557830092
62487,1,0.05279187817258883
63498,1,0.052104208416833664
64510,1,0.05163853028798411
65521,1,0.051434223541048464
66531,1,0.05078125
67543,1,0.05019305019305019
68556,8,0.04928909952606635
69741,4,0.04925650557620818
70934,4,0.048401826484018265
71957,3,0.047790802524797116
72979,1,0.04736371760500447
74002,1,0.046902654867256637
75196,1,0.04661389621811785
76220,1,0.046207497820401046
77243,3,0.045808124459809856
78775,1,0.045454545454545456
79969,1,0.045029736618521665
81163,1,0.044801352493660185
82187,1,0.04431438127090301
83208,1,0.043837882547559964
84233,1,0.04358552631578947
85426,1,0.04301948051948052
86789,1,0.0427074939564867
