Time since start (ms),Queue size,Average packet loss
1267,1,0.0
2292,22,0.06521739130434782
3497,21,0.2235294117647059
4584,17,0.18627450980392157
5696,8,0.1864406779661017
6699,13,0.16551724137931034
7858,5,0.15
8881,5,0.13333333333333333
10164,19,0.1095890410958904
11367,26,0.12403100775193798
12529,24,0.1423611111111111
13625,17,0.15806451612903225
14783,4,0.1557632398753894
15945,5,0.1488095238095238
17104,1,0.14492753623188406
18262,5,0.13736263736263737
19916,1,0.13513513513513514
21243,1,0.12919896640826872
22734,1,0.125
23894,4,0.12048192771084337
25217,5,0.11441647597254005
26376,5,0.10964912280701754
27388,25,0.108
28603,11,0.109375
30241,1,0.11342155009451796
31886,1,0.1111111111111111
32982,1,0.1092896174863388
34259,1,0.1079136690647482
35354,1,0.10695187165775401
36448,1,0.1048951048951049
37543,1,0.10344827586206896
38638,1,0.10152284263959391
39733,1,0.10084033613445378
40827,1,0.09852216748768473
41922,1,0.09724473257698542
43017,2,0.09433962264150944
44477,1,0.09331259720062209
45571,1,0.0911854103343465
46667,1,0.08849557522123894
47766,5,0.08776978417266187
49057,1,0.08640226628895184
50164,11,0.08413793103448276
51455,1,0.08265582655826559
53117,1,0.08100929614873838
54223,1,0.08026315789473684
55330,1,0.07870967741935483
56805,1,0.0778061224489796
58096,1,0.07653701380175659
59202,4,0.0745721271393643
60309,1,0.07340553549939831
61427,4,0.07234539089848308
62917,1,0.0713463751438435
64222,1,0.07029478458049887
65341,1,0.06942889137737962
66833,1,0.06820682068206821
68138,1,0.06783369803063458
69445,1,0.06695464362850972
70569,1,0.06766917293233082
71887,1,0.0669500531349628
73394,6,0.06508264462809918
74713,1,0.06408952187182096
76031,1,0.06350806451612903
77162,1,0.06287425149700598
78480,1,0.06182531894013739
79799,1,0.06051873198847262
81119,1,0.06
82250,1,0.05954631379962193
83945,0,0.0595903165735568
85085,1,0.058931860036832415
86800,1,0.05786618444846293
87943,1,0.05719392314566577
89086,1,0.05663716814159292
90228,3,0.05589519650655022
91370,1,0.05536332179930796
92513,1,0.05456095481670929
93857,1,0.05489864864864865
95012,1,0.05439330543933055
96551,1,0.0538971807628524
97711,1,0.05451586655817738
98889,2,0.05411954765751212
100067,1,0.053642914331465175
101245,1,0.05304829770387965
102423,2,0.052466718872357085
103601,1,0.052099533437014
105183,1,0.05234795996920708
106374,1,0.05206738131699847
107765,1,0.05112781954887218
108957,1,0.050860134629768135
110151,1,0.050407709414381024
111351,1,0.05054945054945055
112554,1,0.05018181818181818
113762,1,0.050143266475644696
114775,6,0.04943502824858757
115990,1,0.04929577464788732
117003,1,0.04884856943475227
118219,1,0.048644892286309936
119230,1,0.04834254143646409
120445,1,0.04807692307692308
121458,3,0.04748982360922659
122875,1,0.04685408299866131
123894,1,0.04689564068692206
124917,1,0.04671052631578947
125944,1,0.04708960104643558
126977,1,0.04669260700389105
128010,1,0.04657179818887452
129255,1,0.046675191815856776
130297,3,0.045998739760554505
