Time since start (ms),Queue size,Average packet loss
1067,5,0.0
2473,11,0.0
3485,25,0.0
4499,33,0.0
5704,39,0.0
6720,47,0.0
7737,52,0.0
8767,69,0.0
9775,77,0.0
10805,97,0.0
12214,100,0.061946902654867256
13422,100,0.1092436974789916
14450,100,0.24113475177304963
15452,100,0.2517482517482518
16456,100,0.2987012987012987
17466,100,0.3374233128834356
18478,100,0.3735632183908046
19484,100,0.4076086956521739
20495,100,0.458128078817734
21913,100,0.4835680751173709
22937,100,0.5066666666666667
23949,100,0.5375
24973,100,0.5642023346303502
25984,100,0.5912408759124088
27389,100,0.602112676056338
28401,100,0.632258064516129
29615,100,0.6448598130841121
30616,100,0.6428571428571429
32220,100,0.6430769230769231
33226,100,0.655786350148368
34247,100,0.6657142857142857
35852,100,0.6740947075208914
36855,100,0.6767123287671233
38267,100,0.6860158311345647
39470,100,0.6892950391644909
40485,100,0.696969696969697
41496,100,0.7073170731707317
42501,100,0.7119047619047619
43504,100,0.7139479905437353
44508,100,0.7175925925925926
45518,100,0.7282850779510023
46723,100,0.7366167023554604
47735,100,0.740506329113924
48741,100,0.7453798767967146
49948,100,0.75
50953,100,0.7524752475247525
51964,100,0.7572815533980582
53174,100,0.7581573896353166
54188,100,0.7635009310986964
55798,100,0.7652495378927912
56801,100,0.7676950998185118
57805,100,0.7714285714285715
59012,100,0.773286467486819
60015,100,0.7752613240418118
61019,100,0.7815126050420168
62222,100,0.782392026578073
63434,100,0.7910685805422647
64640,100,0.7947122861586314
65648,100,0.796923076923077
67062,100,0.7981790591805766
68078,100,0.8017883755588674
69090,100,0.8032305433186491
70099,100,0.8049490538573508
71104,100,0.8085106382978723
72108,100,0.8098591549295775
73114,100,0.8097902097902098
74117,100,0.8126721763085399
75321,100,0.8130968622100955
76529,100,0.8127544097693351
77536,100,0.8157543391188251
78541,100,0.8168642951251647
79552,100,0.81877444589309
80563,100,0.8184176394293126
81566,100,0.8198198198198198
82567,100,0.8212927756653993
83782,100,0.8233082706766918
84795,100,0.8246913580246914
86003,100,0.8270401948842875
87206,100,0.828125
88415,100,0.8297872340425532
89617,100,0.8311840562719812
91221,100,0.8317865429234339
92228,100,0.8323765786452354
93237,100,0.835214446952596
94240,100,0.835016835016835
95449,100,0.8361204013377926
96854,100,0.8362831858407079
97856,100,0.8366445916114791
99066,100,0.8371584699453551
100069,100,0.838569880823402
101073,100,0.8378378378378378
102080,100,0.8404255319148937
103286,100,0.8417190775681341
104290,100,0.8437821171634121
105704,100,0.8455284552845529
107107,100,0.8463855421686747
108113,100,0.8507317073170731
109117,100,0.8514946962391514
110324,100,0.8533585619678334
111735,100,0.8547328959700093
113339,100,0.8547486033519553
114547,100,0.8554327808471455
115553,100,0.8581752484191508
116760,100,0.8580413297394429
117765,100,0.8595555555555555
118768,100,0.8590425531914894
119771,100,0.8596646072374228
120978,100,0.8607484769364665
122394,100,0.8626279863481229
123398,100,0.8630952380952381
124409,100,0.8645484949832776
125611,100,0.8667763157894737
